timestep,buyer,seller,price,quantity
1205,MomBot2,MomBot2,63936.950000,1
1207,BotB,MomBot1,63956.190000,1
1208,BotC,MomBot2,63956.190000,1
1209,MomBot1,MomBot1,63795.680000,1
1210,MomBot2,MomBot2,63795.680000,1
1212,BotC,MomBot1,63936.930000,1
1213,BotC,MomBot2,63936.930000,1
1214,BotB,MomBot1,63846.720000,1
1215,BotC,MomBot2,63846.720000,1
1216,MomBot2,MomBot1,63763.690000,1
1217,BotB,MomBot2,63763.690000,1
1218,BotC,BotB,63767.690000,1
1219,MomBot1,BotC,63767.690000,1
1222,MomBot1,MomBot2,64238.260000,1
1223,MomBot2,RSIBot1,64293.960000,1
1225,MomBot1,BotC,64423.600000,1
1230,MomBot2,BotB,64508.400000,1
1235,MomBot2,BotC,64508.400000,1
1239,MomBot1,MomBot1,64468.880000,1
1242,MomBot2,MomBot1,64293.190000,1
1244,MomBot2,MomBot1,64358.160000,1
1245,MomBot2,MomBot1,64276.130000,1
1246,MomBot1,MomBot2,64276.130000,1
1247,MomBot2,BotC,64280.130000,1
1248,BotB,MomBot1,64301.070000,1
1251,MomBot1,MomBot2,64301.070000,1
1252,BotC,MomBot2,64340.600000,1
1254,MomBot1,MomBot2,64412.130000,1
1256,MomBot1,MomBot2,64441.820000,1
1257,MomBot2,MomBot1,64565.090000,1
1262,MomBot1,BotC,64500.690000,1
1263,MomBot2,BotB,64569.090000,1
1264,MomBot1,BotC,64580.130000,1
1271,MomBot2,BotC,64787.520000,1
1274,MomBot1,MomBot1,64345.840000,1
1275,MomBot2,MomBot1,64442.170000,1
1276,MomBot2,MomBot2,64442.170000,1
1277,MomBot1,BotB,64446.170000,1
1279,MomBot2,MomBot1,64447.350000,1
1280,MomBot2,MomBot2,64447.350000,1
1282,MomBot1,MomBot1,64181.540000,1
1283,MomBot2,MomBot2,64181.540000,1
1284,BotB,MomBot1,64174.360000,1
1285,BotB,MomBot2,64174.360000,1
1286,MomBot2,MomBot1,64175.050000,1
